episode, episode_reward, mean_reward
0,-431.702246709969,-431.702246709969
1,-230.93333773391223,-331.31779222194064
2,-184.87371337508395,-282.50309927298844
3,-318.70886845720344,-291.55454156904216
4,-350.41058635388197,-303.32575052601015
5,-127.77835400538405,-274.0678511059058
6,-454.5321211293922,-299.84846110926094
7,-199.95988194822382,-287.3623887141313
8,-53.69628995768093,-261.39948885230353
9,-297.0489535079232,-264.9644353178655
10,-216.1416317269239,-260.5259986277799
11,-316.8512849420059,-265.2197724872987
12,-39.65622950436993,-247.86873071938115
13,-133.97588245881366,-239.73352727219773
14,-164.78009538717188,-234.736631813196
15,-107.84892866277436,-226.80615036629467
16,-379.5018617065691,-235.78825103336962
17,-115.06488885917166,-229.0813975792475
18,-450.3856610535743,-240.72899039368573
19,-360.49569493712386,-246.71732562085762
20,-84.93224774059665,-239.01327429322615
21,-138.83912984179213,-234.45990409088824
22,-412.7484712593111,-242.21158092429795
23,-71.71438996611124,-235.1075313010402
24,-65.05046159099325,-228.30524851263831
25,-134.6072147160529,-224.70147798200043
26,-115.11496586339037,-220.64271827390374
27,-116.5335102147314,-216.92453227179044
28,-371.189555632903,-222.24401583596674
29,-373.9495518076934,-227.30086703502428
30,-381.86953734261607,-232.28695317397887
31,-417.95584100495586,-238.08910591869687
32,-82.40800343225835,-233.37149675244117
33,-379.15268097247497,-237.6591786412657
34,-454.7847166634629,-243.86276544189988
35,-123.57739467422846,-240.5215051427979
36,-250.78580215760408,-240.79891857563052
37,-374.5731503233506,-244.3192930953074
38,-217.2312325895793,-243.62472744131438
39,-161.52196065833536,-241.57215827173985
40,-156.9865149106493,-239.50909379951815
41,-107.34155381698415,-236.36224760945782
42,-28.539575326181435,-231.52916220752118
43,-492.93817618966114,-237.4702761616607
44,-213.5231327348646,-236.93811741884304
45,-117.92345463999226,-234.35084214104194
46,-114.6235766594553,-231.80345351377412
47,-286.2093238353575,-232.93690914547378
48,-126.28504517739752,-230.76034049306404
49,-155.25840597928158,-229.25030180278839
50,-466.1805077727765,-233.8959921159254
51,-113.52820287868393,-231.58122693828616
52,-103.4185417924452,-229.16306306760993
53,-78.10373597144323,-226.3656681213846
54,-230.80094425459686,-226.44630950562484
55,-134.7454228037883,-224.80879367166344
56,-74.0057605516074,-222.16312642394317
57,-234.89525170536632,-222.382645825347
58,-241.57607786402744,-222.70795823278226
59,-386.6095894336363,-225.4396520861298
60,-88.31531808414792,-223.19171218445797
61,-188.00187631006693,-222.62413418648393
62,-340.6599598089946,-224.49771872017456
63,-245.54538874432492,-224.82658856430197
64,-162.4954569556512,-223.867648078015
65,-220.0523764940739,-223.80984093280378
66,-101.38704340491621,-221.98263499955175
67,-280.0423762467497,-222.83645472377523
68,-117.08033025930145,-221.30375726776836
69,-115.86403838727252,-219.79747556947555
70,-68.09587001985359,-217.66083323779074
71,-59.046638644453104,-215.4578583128833
72,-108.11080240785913,-213.98735069774597
73,-117.83952641933693,-212.68805577506475
74,-57.41057266123311,-210.617689333547
75,-70.79576941479169,-208.77792722935285
76,-260.69660043123883,-209.45219571249422
77,-77.34018887277527,-207.7584520350619
78,-105.9513299660005,-206.4697542873523
79,-122.10005045968117,-205.4151329895064
80,-178.5469210229899,-205.0834266689321
81,-184.34422147688298,-204.83050953244373
82,-330.9388862483147,-206.34988756516506
83,-48.805638685149916,-204.4743607927839
84,-187.10188751796554,-204.26997875425664
85,-77.82865676151671,-202.7997308241085
86,-283.4577927940485,-203.7268349846825
87,-127.34794874673915,-202.858893095615
88,-51.556075112877224,-201.15886143288762
89,-79.8674567091737,-199.81117915817967
90,-96.56526852153608,-198.67660871162315
91,-110.07282159033406,-197.7135240690004
92,-80.34819864252816,-196.4515313224792
93,-81.79629503701152,-195.23179476625086
94,-416.4938988233672,-197.56086954579942
95,-127.51587784298677,-196.83123421556184
96,-245.28132633928453,-197.33071970137343
97,-108.23546946355304,-196.42158449486507
98,-160.71255996041225,-196.06088727734533
99,-106.77022670316434,-195.16798067160352
100,-380.50195654848324,-194.65597776998865
101,-115.33398325324106,-193.49998422518192
102,-130.18564367873194,-192.95310352821838
103,-59.68049014875589,-190.36281974513392
104,-117.55233714554662,-188.03423725305055
105,-119.2748419178727,-187.94920213217546
106,20.514194423032762,-183.19873897665119
107,-62.904848766995975,-181.82818864483892
108,-104.47935319977512,-182.33601927725988
109,-58.669784383724526,-179.9522275860179
110,-259.02820652583677,-180.381093334007
111,-56.044460152477754,-177.77302508611174
112,-118.64191106273529,-178.5628819016954
113,-106.60443067489747,-178.2891673838562
114,-101.93890556529055,-177.66075548563742
115,-318.47721366728547,-179.7670383356826
116,-92.6824640938908,-176.89884435955577
117,5.637673612904109,-175.69181873483495
118,-296.7520298080071,-174.1554824223793
119,-142.49165991153433,-171.97544207212337
120,-247.86839691102196,-173.60480356382763
121,-128.40604355782358,-173.50047270098796
122,-115.37266694502624,-170.52671465784516
123,-430.52245076570193,-174.11479526584102
124,-144.41899845337613,-174.9084806344649
125,-145.25227687133724,-175.01493125601775
126,-71.76066911188471,-174.58138828850267
127,-104.13414728975958,-174.45739465925297
128,-104.88998594083743,-171.7943989623323
129,-125.43264009335205,-169.3092298451889
130,-94.93917586210543,-166.43992623038378
131,-200.39443472327756,-164.264312167567
132,-54.26543457052979,-163.9828864789497
133,17.37049698004553,-160.0176546994245
134,-241.00736010102386,-157.87988113380013
135,-115.14455532689453,-157.7955527403268
136,-48.1084583591097,-155.76877930234184
137,-139.42368779585897,-153.41728467706693
138,-109.48287934582078,-152.33980114462932
139,-309.71945337988564,-153.8217760718448
140,-70.01593696129305,-152.95207029235127
141,-126.49454000233852,-153.14360015420482
142,-74.45720802862641,-153.60277648122928
143,-82.82776617918508,-149.5016723811245
