episode,episode_reward,mean_reward,method
118,59.553476601535664,-167.86076258452474,REINFORCE
119,-267.8931296528291,-166.2450321969744,REINFORCE
120,-46.08140870438595,-164.77573711895357,REINFORCE
121,-84.69139473813158,-164.2751455006436,REINFORCE
122,-72.73237450126307,-163.21611542803902,REINFORCE
123,-72.97128933847188,-162.668917639422,REINFORCE
124,-97.29947417506645,-161.25278454643592,REINFORCE
125,-144.80143189108878,-161.1570188151606,REINFORCE
126,-58.30762879370397,-158.25822254858468,REINFORCE
127,-316.81149868305556,-156.43698833475565,REINFORCE
128,-41.48322501462712,-155.34966041395725,REINFORCE
129,-224.7375892589714,-154.35449973576152,REINFORCE
130,-237.2471743392915,-154.67089469189065,REINFORCE
131,-74.10160357402106,-153.1614513351231,REINFORCE
132,-103.85406534157967,-149.88282263866364,REINFORCE
133,-50.40016272289339,-147.80054691434697,REINFORCE
134,-89.47166854446667,-148.13080737540295,REINFORCE
135,-162.60817485076228,-146.9285949979626,REINFORCE
136,-60.674777718995216,-145.40922712591805,REINFORCE
137,-64.4113045589662,-142.94399566723183,REINFORCE
138,-99.89171031110853,-142.8827161345207,REINFORCE
139,-93.614630881195,-142.73036363064523,REINFORCE
140,-75.8714131753757,-139.28531025500038,REINFORCE
141,-77.34206479686807,-138.3863160797337,REINFORCE
142,-232.64837222438715,-135.3655507908588,REINFORCE
143,-122.70683180110643,-133.82200417973826,REINFORCE
144,-106.79982899564459,-134.31301294684874,REINFORCE
145,-88.77743182068167,-132.98623114347635,REINFORCE
146,-205.44242156356052,-134.34574558398054,REINFORCE
147,-268.1389146079247,-134.95494792593482,REINFORCE
148,-1.4247843291811648,-134.24300515398846,REINFORCE
149,-215.60751440548393,-131.81502647223334,REINFORCE
150,-199.71118236678484,-133.24521238048962,REINFORCE
151,-206.73611342959802,-134.49692739831715,REINFORCE
152,-172.67333004384687,-135.31510302684026,REINFORCE
153,-146.23771322567876,-134.48282771166612,REINFORCE
154,-46.7831363329488,-134.2939699045601,REINFORCE
155,-366.39585576647806,-135.4884944307341,REINFORCE
156,-65.95826793025321,-132.6682077997572,REINFORCE
157,-73.86313705306614,-131.51165511816626,REINFORCE
158,-22.57018489360175,-130.0869372814743,REINFORCE
159,-192.73492272995364,-131.31556306524266,REINFORCE
160,37.58125536052037,-129.81315905961384,REINFORCE
161,-100.22486393766958,-128.756730319007,REINFORCE
162,-23.82014537662127,-127.97159990697219,REINFORCE
163,-28.00003575121815,-125.46384696146396,REINFORCE
164,-94.69424398867788,-125.092513886951,REINFORCE
165,-33.33893886377484,-124.50474950836559,REINFORCE
166,-89.68897085146972,-122.40823330596939,REINFORCE
167,-121.75634144351014,-122.8790949792186,REINFORCE
168,-91.25628546701576,-122.33304830648537,REINFORCE
