episode,episode_reward,mean_reward,method
0,-435.42222370005396,-435.42222370005396,REINFORCE
1,-577.8615888930957,-506.6419062965748,REINFORCE
2,-57.59861634543691,-356.9608096461955,REINFORCE
3,-342.8130017402402,-353.4238576697067,REINFORCE
4,-193.59768601696308,-321.45862333915795,REINFORCE
5,-123.35108412605766,-288.4407001369746,REINFORCE
6,-213.3235634775212,-277.7096806141955,REINFORCE
7,-27.52173174131262,-246.43618700508515,REINFORCE
8,-435.860949257865,-267.4833828109496,REINFORCE
9,-125.39665978445512,-253.27471050830013,REINFORCE
10,-65.62930518141884,-236.21603729676545,REINFORCE
11,-493.12227123993347,-257.6248901253628,REINFORCE
12,-543.3816172801226,-279.6061768295751,REINFORCE
13,-577.5182991035674,-300.88561413486025,REINFORCE
14,-314.492353587352,-301.79273009835975,REINFORCE
15,-535.7616301669452,-316.4157863526463,REINFORCE
16,-30.51593550359246,-299.5981480674078,REINFORCE
17,-493.88539089870136,-310.39188378025744,REINFORCE
18,-69.31752576131586,-297.70375967399735,REINFORCE
19,-120.0804201773145,-288.82259269916324,REINFORCE
20,-96.99323006419799,-279.6878611451172,REINFORCE
21,-100.30614874179331,-271.53414694496615,REINFORCE
22,-97.23973219713587,-263.9561289124518,REINFORCE
23,-497.58266270142394,-273.69056782032567,REINFORCE
24,-308.2196938733871,-275.07173286244813,REINFORCE
25,-186.36802609611203,-271.66005183297364,REINFORCE
26,-11.436772836640898,-262.02215261088725,REINFORCE
27,-99.6477308567811,-256.22306611966917,REINFORCE
28,-96.97917522822631,-250.73189746824008,REINFORCE
29,1.2324036493218813,-242.33308743098803,REINFORCE
30,-170.31856686151275,-240.0100383803598,REINFORCE
31,-95.67860356096533,-235.49968104225377,REINFORCE
32,-252.30894316211803,-236.0090526216436,REINFORCE
33,-131.69577367526682,-232.9410150055737,REINFORCE
34,-85.68697323581239,-228.73375666929482,REINFORCE
35,-57.8211810318923,-223.98618512381142,REINFORCE
36,-317.8203879357534,-226.5222446592693,REINFORCE
37,-316.6970559814898,-228.895266009854,REINFORCE
38,-435.24685280420226,-234.18633233791422,REINFORCE
